Fri, Apr 04, 2025
2:15:26 PM

Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
152.8350000	-30.8999996	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0045532	0.0050600	0.0003185	-0.0010733	-0.0045905	-0.0057647	-0.0015207	0.0004158
154.1150000	3879.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0058994	0.0064258	-0.0082274	-0.0101964	-0.0059266	-0.0071134	0.0070388	0.0095284
155.8500000	-3894.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0059315	0.0070064	0.0093597	0.0073632	-0.0059741	-0.0077255	-0.0105706	-0.0080102
157.0800000	-30.8299999	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0048397	0.0054104	0.0003744	-0.0011351	-0.0048655	-0.0060920	-0.0015631	0.0004628
158.2600000	3878.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0061748	0.0067799	-0.0081926	-0.0103108	-0.0062353	-0.0074521	0.0070548	0.0096229
160.0000000	-3892.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0062055	0.0073651	0.0094931	0.0073399	-0.0062851	-0.0080650	-0.0106460	-0.0080165
161.3500000	-30.8600006	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0050849	0.0057478	0.0004866	-0.0012011	-0.0051899	-0.0064169	-0.0015688	0.0005029
162.7100000	3873.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0064563	0.0071652	-0.0081361	-0.0104418	-0.0065804	-0.0078130	0.0070968	0.0097244
164.2700000	-3891.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0064778	0.0077455	0.0096613	0.0073139	-0.0066256	-0.0084235	-0.0107127	-0.0080292
165.6350000	-30.7700005	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0053391	0.0061108	0.0005907	-0.0012717	-0.0055147	-0.0067562	-0.0015812	0.0005510
166.9050000	3875.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0067337	0.0075379	-0.0080904	-0.0105621	-0.0069273	-0.0081796	0.0071310	0.0098465
168.6100000	-3889.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0067625	0.0081306	0.0098174	0.0073302	-0.0069918	-0.0088153	-0.0107930	-0.0079901
169.9950000	-30.7199993	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0056045	0.0064761	0.0006937	-0.0012940	-0.0058900	-0.0071574	-0.0016101	0.0006564
171.3150000	3873.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0070168	0.0079225	-0.0080544	-0.0106453	-0.0073216	-0.0086145	0.0071517	0.0100263
172.9100000	-3889.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0070426	0.0085186	0.0099805	0.0073642	-0.0073877	-0.0092589	-0.0109012	-0.0079522
174.3100000	-30.7299995	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0059058	0.0068642	0.0007774	-0.0013337	-0.0062619	-0.0075793	-0.0016600	0.0007514
175.5950000	3873.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0073535	0.0083421	-0.0080313	-0.0107634	-0.0076988	-0.0090439	0.0071664	0.0101818
177.1250000	-3888.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0073924	0.0089606	0.0101362	0.0073635	-0.0077585	-0.0096923	-0.0110321	-0.0079398
178.5000000	-30.7500000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0062510	0.0072875	0.0008562	-0.0013981	-0.0066105	-0.0079971	-0.0017201	0.0008208
179.8100000	3871.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0077105	0.0087781	-0.0080201	-0.0109097	-0.0080701	-0.0094794	0.0071688	0.0103227
181.4300000	-3886.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0077571	0.0094159	0.0102937	0.0073601	-0.0081349	-0.0101391	-0.0111669	-0.0079405
182.8500000	-30.6599998	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0066226	0.0077338	0.0009353	-0.0014786	-0.0069937	-0.0084436	-0.0017907	0.0008887
184.2400000	3870.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0081025	0.0092569	-0.0080086	-0.0110683	-0.0084745	-0.0099554	0.0071692	0.0104815
185.8750000	-3886.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0081570	0.0099053	0.0104578	0.0073522	-0.0085366	-0.0106231	-0.0113231	-0.0079341
187.1950000	-30.6499996	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0070045	0.0082025	0.0010222	-0.0015530	-0.0073769	-0.0089016	-0.0018595	0.0009625
188.5750000	3869.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0084959	0.0097353	-0.0079956	-0.0112286	-0.0088729	-0.0104299	0.0071745	0.0106392
190.2750000	-3883.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0085613	0.0104046	0.0106349	0.0073443	-0.0089499	-0.0111141	-0.0114747	-0.0079260
191.5400000	-30.6299992	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0074028	0.0086951	0.0011155	-0.0016390	-0.0077873	-0.0093860	-0.0019408	0.0010540
