Mon, Apr 07, 2025
1:00:58 PM

Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
135.9950000	-39.6199989	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0040432	0.0047961	0.0005762	-0.0009118	-0.0045909	-0.0054181	-0.0012186	0.0004277
137.4250000	1940.0999756	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0047399	0.0054939	-0.0040401	-0.0058210	-0.0052817	-0.0061104	0.0034025	0.0053316
139.1250000	-1966.0999756	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0047760	0.0058168	0.0053430	0.0035472	-0.0053291	-0.0064671	-0.0060177	-0.0040347
140.4150000	-39.5299988	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0042427	0.0050183	0.0005985	-0.0009537	-0.0047812	-0.0056582	-0.0012735	0.0004601
141.8500000	1939.9000244	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0049388	0.0057097	-0.0040659	-0.0059072	-0.0054662	-0.0063462	0.0033928	0.0054140
143.5600000	-1965.8000488	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0049746	0.0060300	0.0054015	0.0035588	-0.0054985	-0.0066985	-0.0061181	-0.0040389
144.9650000	-39.4199982	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0044376	0.0052236	0.0006161	-0.0009783	-0.0049443	-0.0058817	-0.0013314	0.0005018
146.2450000	1939.5000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0051232	0.0058978	-0.0040960	-0.0059689	-0.0056163	-0.0065596	0.0033691	0.0054864
147.8100000	-1965.8999023	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0051460	0.0062067	0.0054395	0.0035684	-0.0056331	-0.0068934	-0.0062077	-0.0040379
149.1000000	-39.4300003	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0046053	0.0053910	0.0006162	-0.0010059	-0.0050771	-0.0060727	-0.0013855	0.0005292
